catalog_id,canonical_source_ids,integration_routes,integration_status,action_or_policy,legal_question_or_outcome,litigation_posture,source_family,source_entry_url,representative_case_url,official_action_url,preliminary_disposition,review_note,last_reviewed
TAC-IPI1-025,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Smith v. Tumalo Irrigation District , 2020 WL 6693238 (D.Or. 2020), appeal dismissed as moot (9th Cir. 20-36057)","November 13, 2020: A federal district court in Oregon held that the Natural Resources Conservation Service had not violated the National Environmental Policy Act in its implementation of the Tumalo Irrigation District Modernization Project.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-029,SRC-0768; SRC-0799,REG-006; FACT-001,subject-issue-evidence-pending,"California v. Wheeler , No. 20-1357 (D.C. Cir. Oct. 27, 2020)","Oct. 27, 2020: A federal appeals court in D.C. denied a motion for a stay or summary vacatur of EPA's repeal of its rule regulating emissions from new power plants.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://blogs.edf.org/climate411/files/2020/10/20-1357_Documents.pdf,https://www.federalregister.gov/documents/2020/09/14/2020-18114/oil-and-natural-gas-sector-emission-standards-for-new-reconstructed-and-modified-sources-review,preliminary-or-remedial-denial,HOR-036 review is complete; the verified disposition still requires integration into the listed undeveloped subject-specific issue evidence record.,2026-07-16
TAC-IPI1-034,SRC-0768,REG-006,verification-and-evidence-page-pending,"Altamaha Riverkeeper v. United States Army Corps of Engineers , No. 418-251, 2020 WL 5837650 (S.D. Ga. Sept. 30, 2020)","September 30, 2020: A federal district court upheld the Army Corps of Engineers’ permit allowing a real estate developer to use an offshore source to renourish the beach in front of a development, finding that the Corps’ permit grant was not arbitrary and capricious, for the Agency had adequately analyzed practicable alternatives as required under the Clean Water Act, had engaged in the requisite hard look required by the National Environmental Policy Act before making its finding that there would be no significant environmental impact, and appropriately determined that subsequent permit modifications did not significantly increase the scope of the permitted activity so as to require a new application procedure.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://cases.justia.com/federal/district-courts/georgia/gasdce/4:2018cv00251/76337/91/0.pdf?ts=1601554960,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-041,SRC-0768; SRC-0802,REG-003,partial-integration-pending,"Ramos v. Nielsen , 975 F.3d 872 (9th Cir. 2020)","September 14, 2020: A federal appeals court in California reversed a lower court injunction , 336 F. Supp. 3d 1075 (N.D. Cal. 2018), of the Department of Homeland Security’s decision to terminate Temporary Protected Status for individuals from Haiti, Sudan, Nicaragua, and El Salvador, holding that plaintiffs' Administrative Procedure Act claim was unreviewable and rejecting the Equal Protection claim.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://www.aclusocal.org/sites/default/files/aclu_ramos_20181003_order_granting_prelim_injunction.pdf,,threshold-or-reviewability-disposition,Ramos disposition is linked from the RIGHTS-002 evidence record; REG-003 has no issue page and remains pending.,2026-07-16
TAC-IPI1-044,SRC-0768; SRC-0803,REG-006; FACT-001,subject-issue-evidence-pending,"Wild Virginia et al v. Council on Environmental Quality et al , Docket No. 20-00045 (W.D. Va. Jul 29, 2020)","September 11, 2020: A federal district court in Virginia denied plaintiffs’ motion for an order enjoining new regulations governing environmental reviews.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.bloomberglaw.com/document/X44KNPH864G94DQGKQHQT5NPNCU,https://www.federalregister.gov/documents/2020/07/16/2020-15179/update-to-the-regulations-implementing-the-procedural-provisions-of-the-national-environmental,preliminary-or-remedial-denial,HOR-036 review is complete; the verified disposition still requires integration into the listed undeveloped subject-specific issue evidence record.,2026-07-16
TAC-IPI1-049,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Native Ecosystems Council v. Mehlhoff , 2020 WL 2060354 (D. Mont. 2020)","August 29, 2020: A federal district court in Montana found that the Bureau of Land Management had correctly analyzed three prescribed burn projects under the requirements of the Sage Grouse plans and that as such the plans did not violate the FLPMA. The court did find, however, that the agency had failed to comply with FLPMA for one of the areas.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-057,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Environmental Integrity Project v. Environmental Protection Agency , 969 F.3d 529 (5th Cir. 2020)","August 13, 2020: A federal appeals court held that EPA was not required to review whether a Title V permit issued by a Texas complied with all applicable requirements under the Clean Air Act, and was permitted to review just whether it contained the state’s permitting requirements.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://www.ca5.uscourts.gov/opinions/pub/18/18-60384-CV0.pdf,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-059,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"New York v. Department of Education , No. 20-4260 2020 WL 4581595 (S.D.N.Y. Aug. 9, 2020)","August 9, 2020: A federal district court in New York denied an injunction of the Department of Education’s final rule , which narrowed the definition of sexual harassment in educational programs receiving federal funding and required educational programs to respond only to incidents of sexual harassment when they have actual—rather than constructive—knowledge, holding that plaintiffs were not likely to succeed in showing that the new procedures violated Title IX of the Education Amendments of 1972 or that the agency had failed to provide a reasoned explanation. Similarly, in Pennsylvania v. DeVos , No. 20-01468, 2020 WL 4673413 (D.D.C. Aug. 12, 2020), a federal district court in D.C. denied plaintiffs’ request for an injunction, finding that the plaintiffs had not established a likelihood of success on their claims.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://kcjohnson.files.wordpress.com/2020/08/nys-pi-ruling.pdf,https://www.govinfo.gov/content/pkg/FR-2020-05-19/pdf/2020-10512.pdf,manual-disposition-review-required,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-061,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Meritor, Inc. v. Environmental Protection Agency , 966 F.3d 864 (D.C. Cir. 2020)","July 28, 2020: A federal appeals court in D.C. upheld EPA’s decision to list a site on the Superfund list in the face of an industry challenge.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-071,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania , 140 S.Ct. 2367 (July 8, 2020)","July 8, 2020: The Supreme Court reversed a lower court order enjoining rules that allow more employers to claim exemptions from the requirement that their health plans cover contraceptive services at no cost under the Affordable Care Act. The Court found that the agencies did not violate the Administrative Procedure Act’s notice-and-comment requirements or the Affordable Care Act.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.paed.uscourts.gov/documents/opinions/17D0846P.pdf,,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-077,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"Pharaohs GC, Inc. v. Small Business Administration , 20-665, 2020 WL 3489404 (W.D.N.Y. 2020), affirmed 990 F.3d 217 (2nd Cir. 2021)","June 26, 2020: A district court in New York held the Small Business Administration had offered a reasoned decision for excluding Pharaohs GC, Inc. an adult-entertainment club, from the Paycheck Protection Program of the Coronavirus Aid, Relief, and Economic Security Act.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,manual-disposition-review-required,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-078,SRC-0768; SRC-0804,REG-006; FACT-001,subject-issue-evidence-pending,"California v. Wheeler , No. 20-3005, 2020 WL 3403072 (N.D.Cal. June 19, 2020)","June 19, 2020: A federal district court in California denied a motion for a preliminary injunction enjoining the Navigable Waters Rule . Separately, a federal district court in Colorado enjoined the rule in Colorado only. See Colorado v. U.S. Environmental Protection Agency , No. 20-cv-1461, 2020 WL 3402325, at (D.Colo. 2020).",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.bloomberglaw.com/document/X4EEOU4S7P39229KTFMD28PJOGN?,,preliminary-or-remedial-denial,HOR-036 review is complete; the verified disposition still requires integration into the listed undeveloped subject-specific issue evidence record.,2026-07-16
TAC-IPI1-079,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"Hall v. Department of Agriculture , 467 F. Supp. 3d 838 (N.D. Cal. 2020), affirmed 984 F.3d 825 (9th Cir. 2020)","June 17, 2020: A federal district court in California declined to enjoin a Department of Agriculture rule that had restricted Supplemental Nutrition Assistance Program benefits under the Families First Coronavirus Response Act for only family who were not already receiving the maximum monthly allotment of SNAP benefits.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,preliminary-or-remedial-denial,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-082,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Friends of Animals v. Bernhardt , 961 F.3d 1197 (D.C. Cir. 2020)","June 16, 2020: A federal appeals court in D.C. upheld a U.S. Fish and Wildlife Service policy allowing the agency to proceed through informal adjudication when deciding whether to allow trophy imports of species classified as ""threatened"" under the Endangered Species Act. (A previous and related policy was struck down. See the entry dated March 1, 2018.)",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.eenews.net/assets/2020/06/16/document_gw_05.pdf,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-083,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Forest Service v. Cowpasture River Preservation Association , 140 S.Ct. 1837 (2020)","June 15, 2020: The Supreme Court upheld Forest Service permits for the construction of the Atlantic Coast Pipeline, holding that the Forest Service has authority under the Mineral Leasing Act to grant rights-of-way through lands within national forests traversed by the Appalachian Trail.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.supremecourt.gov/opinions/19pdf/18-1584_igdj.pdf,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-084,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"National Wildlife Federation v. Department of Transportation , 960 F.3d 872 (6th Cir. 2020)","June 5, 2020: A federal appeals court held that the Department of Transportation and Pipeline and Hazardous Materials Safety Administration had not violated the Endangered Species Act or National Environmental Policy Act in approving two pipeline oil spill response plans related a pipeline that runs across the Great Lakes region. With this ruling, the court reversed a lower court ruling.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-093,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"New York v. Environmental Protection Agency , 921 F.3d 257 (D.C. Cir. 2019)","April 23, 2019: A federal appeals court in D.C. held that EPA did not abuse its discretion in denying state petition seeking to expand the Ozone Transport Region to include more upwind states.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.courthousenews.com/wp-content/uploads/2019/04/epa-ozone.pdf,,manual-disposition-review-required,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-095,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Gulf Restoration Network v. Bernhardt , No. 18-1674, 2020 WL 1930470 (D.D.C. Apr. 21, 2020), appeal filed (D.C. Cir. 20-5179)","April 21, 2020: A federal district court upheld two offshore oil lease sales in the Gulf of Mexico. The court found that the Bureau of Ocean Energy Management had met its obligations under the National Environmental Policy Act.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://perma.cc/MAL6-69PP,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-097,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Waterkeeper Alliance, Inc. v. Wheeler , No. 18-2230, 2020 WL 1873564 (D.D.C. 2020)","April 15, 2020: A federal district court in D.C. rejected plaintiffs’ claim that EPA was required to issue enforceable public participation guidelines for state programs governing coal combustion residuals and that EPA was required to issue only time-limited permits. The court also vacated EPA's approval of the portion of Oklahoma’s coal ash permitting program that had allowed unlined surface impoundments in line with a 2015 rule that was vacated in Util. Solid Waste Activities Grp. v. EPA , 901 F.3d 414, 420 (D.C. Cir. 2018).",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://insideepa.com/sites/insideepa.com/files/documents/2020/apr/epa2020_0641.pdf,,manual-disposition-review-required,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-100,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Friends of Capital Crescent Trail v. Army Corps of Engineers No. 19-106, 453 F. Supp. 3d 804, 2020 WL 1849704 (D. Md. April 13, 2020), affirmed , 855 F. App'x. 121 (4th Cir. 2021)",April 13 2020: A federal district court in Maryland held that the Army Corps had not violated the National Environmental Policy Act or the Clean Water Act in making its decision to grant a dredge and fill permit to related to the development of a light rail line. In May 2021 (after President Biden was inaugurated) the 4th Circuit affirmed.,adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-102,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"NRDC v. McCarthy , No. 19-00055, 2020 U.S. Dist. LEXIS 61786 (D. Utah Apr. 7, 2020), affirmed , 993 F.3d 1243 (10th Cir. 2021).","April 7, 2020: A federal district judge in Utah upheld the Bureau of Land Management's decision to lift a temporary closure order on cross-country off-highway vehicle travel in the Factory Butte area of Utah, rejecting plaintiffs’ claim that environmental review was required under the National Environmental Policy Act. In April 2021 (after President Biden was inaugurated), the 10th Circuit affirmed the lower court's decision.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.courtlistener.com/recap/gov.uscourts.utd.115968/gov.uscourts.utd.115968.31.0.pdf,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-103,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"California v. Bureau of Land Management , 2020 U.S. Dist. LEXIS 53958 (N.D. Cal. 2020), appeal filed (9th Cir. 20-16158)","March 27, 2020: A federal district court held that a repeal of fracking regulations was not arbitrary and capricious.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://policyintegrity.org/documents/Order_NDCal_Ruling_on_SJ.pdf,https://www.govinfo.gov/content/pkg/FR-2015-03-26/pdf/2015-06658.pdf,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-104,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Friends of Animals v. Bernhardt, No. 18-064, 2020 WL 1466422 (D. Mont. March 26, 2020), reversed , 997 F.3d 1010 (9th Cir. 2021).","March 26, 2020: A federal district court in Montana held that the agency’s new requirement that plaintiffs notify the appropriate state agency prior to filing a petition under the Endangered Species Act did not violate the statute. In May 2021 (after President Biden was inaugurated), the 9th Circuit reversed, holding that the requirement was inconsistent with the Endangered Species Act's statutory scheme.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-106,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Voyageur Outward Bound Sch. v. United States , 444 F. Supp. 3d 182 (D.D.C. 2020), appeal dismissed as moot (D.C. Cir. No. 20-5097)","March 17, 2020: A federal district court in D.C. rejected plaintiffs’ challenge to Interior’s decision to reinstate two mining leases near the Boundary Waters wilderness, holding that the agency had authority to reconsider its prior decision and that the agency did not violate contract principles.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.leagle.com/decision/infdco20200317f36,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-107,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"Environmental Law & Policy Center v. Coast Guard, No 18-12626, 447 F. Supp. 3d 602, 2020 WL 1249159 (E.D. Mich. March 16, 2020)","March 16, 2020: A federal district court in Michigan held that the Coast Guard’s Northern Michigan Area Contingency Plan (NMACP), prepared under the Oil Pollution Act did not violate the Administrative Procedure Act or the Oil Pollution Act.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-111,SRC-0768,REG-006; FACT-001,verification-and-evidence-page-pending,"350 Montana v. Bernhardt , 443 F. Supp. 3d 1185 (D.Mont. 2020), appeal filed (9th Cir. No. 20-35411)","March 9, 2020: A federal district court in Montana rejected the majority of plaintiffs' claims that the Office of Surface Mining Reclamation and Enforcement violated National Environmental Policy Act in approving an application to expand the Bull Mountains Mine. The court held in favor of plaintiffs on their claim that the agency violated the statute in failing to consider the risk of coal train derailments.",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/case-documents/2020/20200309_docket-919-cv-00012_opinion-and-order.pdf,,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-115,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"California v. Azar , 950 F.3d 1067 (9th Cir. 2020), appeal dropped (U.S.S.C. 20-429)","February 24, 2020: A federal appeals court in California upheld a rule that imposed restrictions on healthcare providers receiving grants for family-planning services under Title X of the Public Health Service Act. This decision reversed three 2019 district court decisions that had enjoined the rule. Separately, the rule is enjoined in Maryland. See Mayor v. Azar , 439 F. Supp. 3d 591 (D. Md. 2020), aff'd (4th Cir. 19-1614), appeal dropped (U.S.S.C. 20-454)",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://oag.ca.gov/system/files/attachments/press-docs/9th%20Cir%20En%20Banc%20Decision%20%282-24-20%29.pdf,https://www.govinfo.gov/content/pkg/FR-2019-05-21/pdf/2019-09667.pdf,mixed-or-later-modified-disposition,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
TAC-IPI1-119,SRC-0768,REG-006; RIGHTS-001,verification-and-evidence-page-pending,"Akebia Therapeutics, Inc. v. Azar , 443 F. Supp. 3d 219 (D. Mass.), affirmed 976 F.3d 86 (1st Cir. 2020)","February 4, 2020: A federal district court upheld the Centers for Medicare and Medicaid Services’ decision to eliminate coverage under Medicare Part D for Plaintiff’s drug, Auryxia, used in treating iron deficiency anemia in patients with chronic kidney disease, finding that the agency’s interpretation of the Medicare statute was reasonable, and the agency’s actions thereunder were not arbitrary and capricious. In September 2020, a federal appeals court affirmed .",adjudicated-action-permitted,Institute for Policy Integrity Trump court roundup,https://policyintegrity.org/trump-court-roundup,https://www.leagle.com/decision/443205932fsupp3d2197,,apparent-merits-permission,Verify controlling material and integrate any retained evidentiary value into a linked evidence record before removing this row.,2026-07-16
